actor_1,actor_2,weight
Ben Mendelsohn,Will Smith,1
Jake Gyllenhaal,Natalie Portman,1
Jessica Chastain,Allison Janney,1
Viola Davis,Hugh Jackman,2
Paul Dano,Rachel Weisz,1
Bradley Cooper,Matthew Rhys,1
Hugh Jackman,Paul Dano,1
Annette Bening,Brie Larson,1
Oscar Isaac,Jessica Chastain,1
Samuel L. Jackson,Jonah Hill,1
Christian Bale,Natalie Portman,2
Gary Oldman,Benedict Cumberbatch,1
Jeffrey Wright,Allison Janney,2
Natalie Portman,Rachel Weisz,1
Lupita Nyong'o,Benedict Cumberbatch,1
Annette Bening,Natalie Portman,2
Meryl Streep,Viola Davis,1
Natalie Portman,Samuel L. Jackson,5
Gary Oldman,Sam Rockwell,1
Ralph Fiennes,Naomie Harris,3
Samuel L. Jackson,Tilda Swinton,1
Jake Gyllenhaal,Tilda Swinton,1
Javier Bardem,Nicole Kidman,1
Woody Harrelson,Hailee Steinfeld,1
Meryl Streep,Jonah Hill,1
Chris Pine,Hailee Steinfeld,1
Oscar Isaac,Bryan Cranston,1
Cate Blanchett,Naomie Harris,1
Julianne Moore,Mark Ruffalo,2
Tom Hanks,Taraji P. Henson,1
Michael B. Jordan,Robert Downey Jr,1
Michael Fassbender,Charlize Theron,1
Leonardo DiCaprio,Jonah Hill,4
Steve Carell,Michael Keaton,1
Emma Stone,Rachel Weisz,1
Joaquin Phoenix,Mark Ruffalo,1
Andrew Garfield,Benedict Cumberbatch,1
Annette Bening,Reese Witherspoon,1
Chris Pine,Taraji P. Henson,1
Cate Blanchett,Tilda Swinton,2
Michael Stuhlbarg,Bob Odenkirk,1
Mahershala Ali,Ben Mendelsohn,1
Mark Ruffalo,Carrie Coon,1
Tom Hardy,Oscar Isaac,1
Natalie Portman,Bradley Cooper,3
Nicole Kidman,Jeffrey Wright,2
Oscar Isaac,Matt Damon,2
Cate Blanchett,Evan Rachel Wood,1
Steve Carell,Brie Larson,1
Jennifer Lawrence,Charlize Theron,1
Leonardo DiCaprio,Tilda Swinton,1
Sarah Paulson,Paul Dano,1
Matt Damon,Marion Cotillard,1
Bryan Cranston,Taraji P. Henson,1
Tom Hardy,Jessica Chastain,1
Cate Blanchett,Jonah Hill,2
Oscar Isaac,Rachel Weisz,2
Sterling K. Brown,Michael B. Jordan,1
Javier Bardem,Natalie Portman,1
Steve Carell,Josh Brolin,1
Annette Bening,Allison Janney,1
Saoirse Ronan,Ralph Fiennes,1
LaKeith Stanfield,Daniel Kaluuya,2
Emma Stone,Bradley Cooper,2
Jake Gyllenhaal,Mark Ruffalo,1
Tom Hardy,Reese Witherspoon,1
Julianne Moore,Woody Harrelson,3
Michael Shannon,Josh Brolin,1
Tom Hanks,Michael Stuhlbarg,1
Steve Carell,Jonah Hill,4
Lupita Nyong'o,Michael B. Jordan,1
Ryan Gosling,Michael Fassbender,1
Chiwetel Ejiofor,Benedict Cumberbatch,3
Sarah Paulson,Reese Witherspoon,1
Emma Stone,Octavia Spencer,1
Brie Larson,Kyle Chandler,1
Michael Shannon,Will Smith,1
Margot Robbie,Michelle Williams,1
Mahershala Ali,Julianne Moore,2
Jake Gyllenhaal,Tatiana Maslany,1
Nicole Kidman,Charlize Theron,1
Idris Elba,Mark Ruffalo,3
Gary Oldman,Christian Bale,3
Ben Mendelsohn,Joel Edgerton,5
Javier Bardem,Benicio Del Toro,1
Riz Ahmed,Michael Fassbender,1
Benicio Del Toro,Adam Driver,1
Michael B. Jordan,Letitia Wright,1
Woody Harrelson,Charlize Theron,3
Christian Bale,Timothée Chalamet,1
Meryl Streep,Jennifer Lawrence,1
Naomie Harris,Paul Dano,1
Natalie Portman,Nicole Kidman,1
Ralph Fiennes,Josh Brolin,1
Tom Hanks,Natalie Portman,1
Meryl Streep,Saoirse Ronan,1
Octavia Spencer,Chris Pine,1
Annette Bening,Matthew Rhys,1
Julianne Moore,Jeffrey Wright,2
Viola Davis,Julianne Moore,1
Oscar Isaac,Lupita Nyong'o,3
Julianne Moore,Paul Dano,1
Jessica Chastain,Marion Cotillard,1
Margot Robbie,Chiwetel Ejiofor,1
Emma Stone,Kate Winslet,1
Gary Oldman,Idris Elba,1
Matthew Rhys,Benedict Cumberbatch,1
Michael Fassbender,Lupita Nyong'o,1
Leonardo DiCaprio,Ryan Gosling,1
Saoirse Ronan,Benedict Cumberbatch,1
David Oyelowo,Timothée Chalamet,1
Brie Larson,Benedict Cumberbatch,2
Frances McDormand,Sam Rockwell,1
Joaquin Phoenix,Emma Stone,1
Tom Hardy,Joel Edgerton,1
Mahershala Ali,Hailee Steinfeld,1
Idris Elba,Tom Hiddleston,4
Christian Bale,Woody Harrelson,1
Andrew Garfield,Tom Cruise,1
Margot Robbie,Martin Freeman,1
Brie Larson,LaKeith Stanfield,1
Brie Larson,Josh Brolin,1
Saoirse Ronan,Tatiana Maslany,1
Keri Russell,Matthew Rhys,1
Saoirse Ronan,Tom Hanks,1
Leonardo DiCaprio,Cate Blanchett,1
Meryl Streep,Carrie Coon,1
David Oyelowo,Martin Freeman,1
Alicia Vikander,Joel Edgerton,1
Denzel Washington,Matt Damon,1
Meryl Streep,Cate Blanchett,1
Cate Blanchett,Tom Cruise,1
Josh Brolin,Lucas Hedges,1
Octavia Spencer,Evan Rachel Wood,1
Viola Davis,Samuel L. Jackson,1
Cate Blanchett,Taraji P. Henson,1
Nicole Kidman,Evan Rachel Wood,1
Tilda Swinton,Tom Hiddleston,2
Julianne Moore,Janelle Monáe,1
Michael Stuhlbarg,Carrie Coon,1
Will Smith,Taraji P. Henson,1
Woody Harrelson,Josh Brolin,1
Bryan Cranston,Marion Cotillard,1
Leonardo DiCaprio,Oscar Isaac,1
Julianne Moore,Ralph Fiennes,1
Benicio Del Toro,Reese Witherspoon,1
Carrie Coon,Reese Witherspoon,1
Mahershala Ali,Chris Pine,1
Jesse Plemons,Matthew Rhys,1
Christian Bale,Jeffrey Wright,1
Octavia Spencer,David Oyelowo,1
Saoirse Ronan,Rachel Weisz,1
Mark Rylance,Jennifer Lawrence,1
Michael Shannon,Tom Cruise,1
Natalie Portman,Idris Elba,2
Woody Harrelson,Michael Stuhlbarg,1
Jesse Plemons,Bryan Cranston,1
Saoirse Ronan,Kate Winslet,1
Oscar Isaac,Michael Stuhlbarg,1
Brie Larson,Tom Hiddleston,2
Christian Bale,Steve Carell,2
Josh Brolin,Hailee Steinfeld,1
Kyle Chandler,Sarah Paulson,1
Ralph Fiennes,Allison Janney,1
Steve Carell,Janelle Monáe,1
Michael Fassbender,Michael Shannon,1
Amy Adams,Michael Shannon,2
Jake Gyllenhaal,Riz Ahmed,2
Carrie Coon,Letitia Wright,1
Octavia Spencer,Brie Larson,1
Michael Stuhlbarg,Tilda Swinton,1
Michael Shannon,Michael Stuhlbarg,1
Hugh Jackman,Ben Mendelsohn,1
Amy Adams,Jonah Hill,1
Bryan Cranston,Bob Odenkirk,2
Tom Hanks,Jonah Hill,1
Lupita Nyong'o,Rachel Weisz,1
Tom Hanks,Sam Rockwell,1
Amy Adams,Sam Rockwell,1
Tilda Swinton,Jeffrey Wright,3
Mark Ruffalo,Tom Cruise,1
Annette Bening,Julianne Moore,1
Lupita Nyong'o,Keri Russell,1
Chris Pine,Reese Witherspoon,2
Matt Damon,Tilda Swinton,1
Jennifer Lawrence,Bradley Cooper,4
Joaquin Phoenix,Jessica Chastain,1
Michael Shannon,Benedict Cumberbatch,1
Natalie Portman,Gina Rodriguez,1
Chris Pine,Ben Foster,2
Michael Fassbender,Sarah Paulson,1
Michael Stuhlbarg,Sam Rockwell,1
Viola Davis,Matt Damon,2
Margot Robbie,Kyle Chandler,1
Mahershala Ali,Woody Harrelson,2
Robert Downey Jr,Tom Cruise,1
Idris Elba,Carrie Coon,1
Steve Carell,Jesse Plemons,1
Chiwetel Ejiofor,Martin Freeman,1
Frances McDormand,Christian Bale,1
Lupita Nyong'o,Chiwetel Ejiofor,1
Oscar Isaac,Michael Fassbender,1
Kyle Chandler,Bob Odenkirk,1
Josh Brolin,Robin Wright,1
Margot Robbie,Charlize Theron,1
Joaquin Phoenix,Nicole Kidman,1
Charlize Theron,Jeffrey Wright,1
Bryan Cranston,Paul Dano,1
Javier Bardem,Timothée Chalamet,1
Annette Bening,Ben Mendelsohn,1
Joaquin Phoenix,Tom Hiddleston,1
Kyle Chandler,Claire Foy,1
Annette Bening,Letitia Wright,1
Brie Larson,Ben Foster,1
Matt Damon,Timothée Chalamet,1
Woody Harrelson,Allison Janney,1
Ben Mendelsohn,Samuel L. Jackson,2
Denzel Washington,Michael Keaton,1
Idris Elba,Benicio Del Toro,2
Frances McDormand,Saoirse Ronan,1
Carrie Coon,Benedict Cumberbatch,1
Julianne Moore,Robert Downey Jr,1
Leonardo DiCaprio,Jeffrey Wright,2
Leonardo DiCaprio,Kyle Chandler,1
Oscar Isaac,Gina Rodriguez,1
Julianne Moore,Alicia Vikander,2
Viola Davis,Will Smith,1
Daniel Kaluuya,Letitia Wright,1
Chiwetel Ejiofor,Michael Stuhlbarg,1
Michael B. Jordan,Octavia Spencer,1
Kate Winslet,Martin Freeman,1
Meryl Streep,Jeffrey Wright,2
Tom Hanks,Paul Dano,1
Marion Cotillard,Hailee Steinfeld,1
Chris Pine,Robin Wright,2
Nicole Kidman,Marion Cotillard,2
Chiwetel Ejiofor,LaKeith Stanfield,1
Gary Oldman,Ralph Fiennes,2
Charlize Theron,Joel Edgerton,1
Margot Robbie,Chris Pine,1
Oscar Isaac,Sterling K. Brown,1
Tom Hanks,Benedict Cumberbatch,1
Leonardo DiCaprio,Michelle Williams,1
Julianne Moore,Jennifer Lawrence,2
Joaquin Phoenix,Chiwetel Ejiofor,1
Octavia Spencer,Marion Cotillard,1
Ryan Gosling,Bryan Cranston,1
Jesse Plemons,Bob Odenkirk,1
Christian Bale,Margot Robbie,1
Javier Bardem,Josh Brolin,2
Sterling K. Brown,Martin Freeman,2
Mark Ruffalo,Sam Rockwell,1
Carrie Coon,Bradley Cooper,1
Hugh Jackman,Marion Cotillard,1
Tom Hardy,Benicio Del Toro,1
Josh Brolin,Tilda Swinton,2
Joel Edgerton,Chris Pine,1
Mark Ruffalo,Taraji P. Henson,1
Jake Gyllenhaal,Jeffrey Wright,2
Samuel L. Jackson,Jeffrey Wright,2
Leonardo DiCaprio,Margot Robbie,2
Christian Bale,Bradley Cooper,2
Tom Hanks,Mark Ruffalo,1
Christian Bale,Michelle Williams,1
Frances McDormand,Cate Blanchett,1
Frances McDormand,Timothée Chalamet,1
Jessica Chastain,Bryan Cranston,1
Denzel Washington,Viola Davis,3
Josh Brolin,Reese Witherspoon,2
Mark Ruffalo,Bradley Cooper,2
Mark Ruffalo,Letitia Wright,2
Natalie Portman,Robin Wright,1
Ryan Gosling,Cate Blanchett,1
Jesse Plemons,Benedict Cumberbatch,2
Robert Downey Jr,Sam Rockwell,1
Tilda Swinton,Jonah Hill,1
Christian Bale,Naomie Harris,1
Ryan Gosling,Tom Hanks,1
Benicio Del Toro,Robin Wright,1
Idris Elba,Naomie Harris,1
Christian Bale,Sam Rockwell,2
Ryan Gosling,Emma Stone,3
Frances McDormand,Jeffrey Wright,3
Mark Rylance,Michael Keaton,1
Ben Mendelsohn,Nicole Kidman,2
Michael Shannon,Rachel Weisz,2
Charlize Theron,Bob Odenkirk,1
Meryl Streep,Leonardo DiCaprio,2
Frances McDormand,Bryan Cranston,2
Gary Oldman,Natalie Portman,1
Michael Fassbender,Marion Cotillard,2
Robert Downey Jr,Bradley Cooper,2
Tilda Swinton,Timothée Chalamet,1
Steve Carell,Sam Rockwell,2
LaKeith Stanfield,Gina Rodriguez,1
Jesse Plemons,Sarah Paulson,1
Robert Downey Jr,Robin Wright,1
Sterling K. Brown,Julianne Moore,1
Saoirse Ronan,Jeffrey Wright,1
Mark Rylance,Andrew Garfield,1
Leonardo DiCaprio,Timothée Chalamet,1
Leonardo DiCaprio,Samuel L. Jackson,1
Michael B. Jordan,Brie Larson,1
Tom Hardy,Woody Harrelson,2
Michelle Williams,Naomie Harris,1
Mark Ruffalo,Samuel L. Jackson,5
Christian Bale,Jennifer Lawrence,1
Mahershala Ali,Naomie Harris,1
Woody Harrelson,Chiwetel Ejiofor,3
Meryl Streep,Timothée Chalamet,2
Michelle Williams,Paul Dano,1
Michael Shannon,Sarah Paulson,1
Michael B. Jordan,Carrie Coon,1
Mark Ruffalo,Robin Wright,1
Benicio Del Toro,Tilda Swinton,1
Javier Bardem,Naomie Harris,1
Matt Damon,Bryan Cranston,3
Annette Bening,Evan Rachel Wood,1
Idris Elba,LaKeith Stanfield,1
Charlize Theron,Will Smith,2
Sam Rockwell,Bryan Cranston,1
Kate Winslet,Matt Damon,1
Jake Gyllenhaal,Josh Brolin,1
Josh Brolin,Kate Winslet,1
Leonardo DiCaprio,Sam Rockwell,2
Jake Gyllenhaal,Samuel L. Jackson,1
Lupita Nyong'o,David Oyelowo,2
Nicole Kidman,David Oyelowo,1
Lupita Nyong'o,Sarah Paulson,1
Idris Elba,Josh Brolin,3
Idris Elba,Matthew Rhys,1
Viola Davis,Daniel Kaluuya,1
Carrie Coon,LaKeith Stanfield,1
Jesse Plemons,Hailee Steinfeld,1
Bob Odenkirk,Matthew Rhys,1
Jessica Chastain,Ralph Fiennes,1
Meryl Streep,Nicole Kidman,2
Steve Carell,Tom Hanks,1
Oscar Isaac,Allison Janney,1
Jessica Chastain,Joel Edgerton,1
Christian Bale,Marion Cotillard,2
Emma Stone,David Oyelowo,1
Samuel L. Jackson,Sam Rockwell,3
Mark Ruffalo,Tilda Swinton,1
Jesse Plemons,Matt Damon,1
Michael Fassbender,Alicia Vikander,1
LaKeith Stanfield,Jeffrey Wright,1
Ryan Gosling,Ben Mendelsohn,2
Tilda Swinton,Taraji P. Henson,1
Josh Brolin,Carrie Coon,2
Bradley Cooper,Tilda Swinton,1
Michael Fassbender,Ben Mendelsohn,1
Cate Blanchett,Christian Bale,3
Cate Blanchett,Tom Hiddleston,1
Jessica Chastain,Chiwetel Ejiofor,1
Ryan Gosling,Evan Rachel Wood,1
Taraji P. Henson,Janelle Monáe,1
Tilda Swinton,Letitia Wright,1
Frances McDormand,Ralph Fiennes,1
Josh Brolin,Bradley Cooper,3
Meryl Streep,Lucas Hedges,1
Kyle Chandler,Matt Damon,1
Mark Ruffalo,Paul Dano,1
Riz Ahmed,Alicia Vikander,1
Mark Ruffalo,Jeffrey Wright,1
Joel Edgerton,Lucas Hedges,1
Naomie Harris,Will Smith,1
Sterling K. Brown,Letitia Wright,1
Mark Rylance,Idris Elba,1
Keri Russell,Jesse Plemons,1
Tilda Swinton,Lucas Hedges,3
Woody Harrelson,Kate Winslet,1
Michael Stuhlbarg,LaKeith Stanfield,1
Brie Larson,Mark Ruffalo,3
Naomie Harris,Janelle Monáe,1
Viola Davis,Octavia Spencer,2
Viola Davis,Jessica Chastain,2
Annette Bening,Paul Dano,1
Amy Adams,Jennifer Lawrence,1
Charlize Theron,Sam Rockwell,1
Oscar Isaac,Adam Driver,4
Michael Fassbender,Jennifer Lawrence,4
Cate Blanchett,Idris Elba,1
Robin Wright,Evan Rachel Wood,1
Kate Winslet,Bob Odenkirk,1
Sam Rockwell,Jonah Hill,2
Tom Hanks,Carrie Coon,1
David Oyelowo,Allison Janney,1
Leonardo DiCaprio,Mark Rylance,1
Meryl Streep,Jake Gyllenhaal,1
Bradley Cooper,Robin Wright,1
Denzel Washington,Chiwetel Ejiofor,2
Joaquin Phoenix,Hailee Steinfeld,1
Cate Blanchett,Kyle Chandler,1
Kumail Nanjiani,Bob Odenkirk,1
Gary Oldman,Jeffrey Wright,2
Benedict Cumberbatch,Rachel Weisz,1
Charlize Theron,Allison Janney,3
Christian Bale,Ben Foster,2
Brie Larson,Bob Odenkirk,1
Christian Bale,Jesse Plemons,2
Oscar Isaac,Julianne Moore,1
Robert Downey Jr,Tom Hiddleston,3
Woody Harrelson,Mark Ruffalo,2
Woody Harrelson,Michelle Williams,2
Samuel L. Jackson,Chris Pine,1
David Oyelowo,Reese Witherspoon,1
Meryl Streep,Tom Hanks,4
